,net_number,accuracy,acc_motion,acc_color,index_max_motion,index_max_color,color_info_flows,motion_info_flows
0,0,0.7393,0.6922,0.8549,3,3,"[[0.00429844, 0.00920151, 0.00425887, 0.02320818], [0.00192449, 0.00759977, 0.0024785, 0.03621001], [0.0015741, 0.00791496, 0.00359845, 0.04859347], [0.0015825, 0.00200572, 0.0033775, 0.05787832], [0.00174188, 0.00770257, 0.00386861, 0.06933759], [0.00093321, 0.00530853, 0.00265067, 0.07696258], [0.00041665, 0.00299482, 0.00377535, 0.0828703], [0.00177526, 0.00635047, 0.00299937, 0.09402153], [0.00085041, 0.00472953, 0.00341601, 0.09586403], [0.00308955, 0.00532838, 0.00635114, 0.10184408]]","[[0.00893619, 0.02339145, 0.00037502, 0.02121807], [0.00413129, 0.01925093, 0.00175361, 0.04024024], [0.00395871, 0.01980491, 0.00240326, 0.05568709], [0.0030671, 0.01895518, 0.00235631, 0.06454885], [0.00234909, 0.02426723, 0.0047996, 0.07187135], [0.00192432, 0.02516527, 0.00601134, 0.08163751], [0.00163919, 0.02218675, 0.00419269, 0.09110954], [0.00231221, 0.02167165, 0.0055454, 0.095792], [0.00171888, 0.02128754, 0.00501333, 0.1031055], [0.00167354, 0.02413557, 0.00710988, 0.10181262]]"
1,1,0.722,0.6734,0.8492,1,2,"[[0.04795584, 0.04105827, 0.04023645, 0.06628969], [0.05012552, 0.05888429, 0.06002951, 0.07014498], [0.04937438, 0.06376639, 0.0738165, 0.0614094], [0.03468511, 0.07982903, 0.09494963, 0.04863935], [0.03285665, 0.0845391, 0.10186079, 0.03676042], [0.02949196, 0.08040114, 0.09986932, 0.03018718], [0.02619872, 0.08620856, 0.10491319, 0.02834753], [0.0274051, 0.08981089, 0.10621158, 0.01819574], [0.02907482, 0.09344814, 0.1075755, 0.02181604], [0.01897809, 0.04103517, 0.05773094, 0.00922673]]","[[0.01501692, 0.04324989, 0.04341679, 0.01136437], [0.01531882, 0.05744927, 0.07013017, 0.01638332], [0.01642283, 0.07056934, 0.08258604, 0.02692867], [0.03462211, 0.09802702, 0.11232659, 0.0437428], [0.05932704, 0.12934898, 0.1485308, 0.06380679], [0.09714749, 0.16565477, 0.16433385, 0.08713008], [0.12365377, 0.1970682, 0.19902413, 0.10147549], [0.15159171, 0.223736, 0.22077043, 0.10339385], [0.18714076, 0.25037797, 0.24516328, 0.1041894], [0.20495972, 0.27488342, 0.26779303, 0.05748295]]"
2,2,0.7421,0.6933,0.8448,3,3,"[[0.00201137, 0.00712883, 0.00506778, 0.02548323], [0.00156862, 0.00668139, 0.0035375, 0.04619505], [0.00174119, 0.01003488, 0.00284675, 0.05605347], [0.00403029, 0.01563133, 0.00349715, 0.06952832], [0.00012569, 0.00567232, 0.00288316, 0.07620855], [0.00070538, 0.00594302, 0.00351729, 0.08306615], [0.00139005, 0.00312773, 0.00357807, 0.09567642], [0.00206082, 0.00273969, 0.00365992, 0.10621072], [0.00105746, 0.00124351, 0.00328988, 0.11031993], [0.00061171, 0.00494467, 0.00394248, 0.12261189]]","[[0.00495067, 0.02094617, 0.00037822, 0.02113386], [0.00266954, 0.01948991, 0.00053611, 0.03487737], [0.00365191, 0.01946429, 0.00128369, 0.04789798], [0.00287215, 0.02020375, 0.00412613, 0.05772509], [0.00210808, 0.01799318, 0.00175256, 0.06678711], [0.001353, 0.01714723, 0.00176278, 0.07337518], [0.00125847, 0.0197277, 0.00177889, 0.07935566], [0.00156572, 0.02052774, 0.00421386, 0.0823388], [0.0010721, 0.01676463, 0.00388455, 0.08816812], [0.00180865, 0.02069444, 0.00836345, 0.09015847]]"
3,3,0.7366,0.6888,0.8518,1,2,"[[0.04549233, 0.01340279, 0.02534088, 0.06513058], [0.05648739, 0.04650307, 0.06534559, 0.09724819], [0.06031651, 0.06484618, 0.08592969, 0.09116594], [0.04951945, 0.07515737, 0.09371832, 0.07464093], [0.04933451, 0.08602314, 0.10331262, 0.07210559], [0.0504695, 0.09700921, 0.11379742, 0.06227708], [0.0525598, 0.10170045, 0.11584741, 0.04961069], [0.06166096, 0.11182245, 0.1240788, 0.0412267], [0.05027823, 0.09109667, 0.10205274, 0.02734593], [0.03493811, 0.05091247, 0.06163454, 0.01938561]]","[[0.00474825, 0.06971235, 0.05280907, 0.02931227], [0.00839186, 0.09845672, 0.07772733, 0.03616995], [0.01117039, 0.11956646, 0.09521402, 0.03527395], [0.01831401, 0.13544836, 0.10926766, 0.03413521], [0.04512493, 0.15271345, 0.1187091, 0.03513595], [0.07215198, 0.16905772, 0.13703056, 0.06102986], [0.10260159, 0.18808851, 0.15839191, 0.07337472], [0.12947714, 0.19609445, 0.17174836, 0.0930277], [0.15596432, 0.20696098, 0.18368928, 0.10567558], [0.1683146, 0.22077043, 0.19174722, 0.04028055]]"
4,4,0.7441,0.691,0.8443,3,3,"[[0.00213848, 0.00523596, 0.00529205, 0.02405249], [0.00133806, 0.00517109, 0.00357807, 0.03797737], [0.000589080202, 7.38504677e-05, 0.0032212239, 0.0457873638], [0.00025869, 0.00589587, 0.00290145, 0.06032768], [0.0008741, 0.00143024, 0.00374071, 0.06459945], [0.00034256, 0.00206229, 0.00411689, 0.07353044], [0.00079758, 0.0026717, 0.00308744, 0.07984369], [0.00062479, 0.00299136, 0.00276734, 0.08702664], [0.00140983, 0.00482523, 0.00415939, 0.09471734], [0.00035581, 0.00632571, 0.00668954, 0.10305391]]","[[0.00875449, 0.02276579, 0.00227885, 0.01812941], [0.00121269, 0.02364457, 0.00107505, 0.0329165], [0.0014889, 0.01767203, 0.00072043, 0.04549233], [0.00149861, 0.01728374, 0.00102005, 0.05388563], [0.00169986, 0.01793989, 0.00206718, 0.06504203], [0.00090015, 0.01953585, 0.00325307, 0.07453915], [0.00065773, 0.02126407, 0.00463945, 0.07710803], [0.00049303, 0.01768425, 0.00201507, 0.08630436], [0.00082108, 0.02046246, 0.00492797, 0.09324215], [0.00036197, 0.02010338, 0.00345151, 0.09638139]]"
5,5,0.7524,0.7024,0.847,2,1,"[[0.04697735, 0.04774895, 0.03920782, 0.06800629], [0.06760095, 0.0989407, 0.06838344, 0.11321044], [0.08675455, 0.13878211, 0.08194156, 0.1590975], [0.11680868, 0.18245264, 0.10981355, 0.1941988], [0.13214861, 0.20635014, 0.12856207, 0.22401848], [0.16057715, 0.23866219, 0.141292, 0.23124949], [0.18157663, 0.26183922, 0.15560855, 0.22390138], [0.20830705, 0.28561044, 0.17206646, 0.21629335], [0.23123873, 0.31593526, 0.20507425, 0.19532581], [0.10822519, 0.26690844, 0.18306761, 0.04531485]]","[[0.01988546, 0.05820898, 0.05734977, 0.02111885], [0.01117261, 0.04879327, 0.10704314, 0.01106733], [0.01780862, 0.04273858, 0.14224315, 0.0155589], [0.03379538, 0.04917447, 0.18135718, 0.02259953], [0.05890526, 0.05550579, 0.21286341, 0.03009538], [0.08692326, 0.06137345, 0.24944186, 0.03142944], [0.12030402, 0.06900514, 0.27667411, 0.03462211], [0.15117226, 0.08064119, 0.30083533, 0.03877383], [0.18027473, 0.09638139, 0.3271956, 0.0437428], [0.2099551, 0.11883137, 0.32475946, 0.03060203]]"
6,6,0.7346,0.6828,0.845,3,3,"[[0.00549737, 0.01670719, 0.00395371, 0.03025192], [0.00274272, 0.00812853, 0.00236062, 0.0452717], [0.00114162, 0.00909261, 0.00190661, 0.05659404], [0.00222875, 0.00614092, 0.00140142, 0.06295959], [0.00046644, 0.00726307, 0.0013843, 0.07605221], [0.00052634, 0.00488362, 0.00149636, 0.08210945], [0.00127166, 0.0067708, 0.00159237, 0.08992797], [0.00165461, 0.00459525, 0.00122533, 0.09817771], [0.00103011, 0.00453662, 0.00112879, 0.10528729], [0.00067928, 0.00692203, 0.00141632, 0.11019417]]","[[0.00277928, 0.02216339, 0.00124815, 0.02441266], [0.00150654, 0.02092755, 0.00073739, 0.04626878], [0.00206714, 0.01985315, 0.00138579, 0.05641088], [0.00059196, 0.01810689, 0.00102823, 0.06591861], [0.00081944, 0.0172149, 0.00342467, 0.0748945], [0.00097663, 0.01869351, 0.00109215, 0.08284167], [0.00090249, 0.01964335, 0.00415192, 0.08994784], [0.0005522, 0.0239513, 0.00437581, 0.09068618], [0.00058456, 0.02475947, 0.00630703, 0.09946535], [0.00063787, 0.0223549, 0.00532628, 0.1037344]]"
7,7,0.7457,0.6892,0.8409,2,1,"[[0.04712721, 0.05502803, 0.03928359, 0.07283536], [0.06263408, 0.10061164, 0.05751029, 0.11331596], [0.0885129, 0.13549033, 0.0656645, 0.15456631], [0.09551094, 0.16236797, 0.07258728, 0.1688731], [0.12008651, 0.18836367, 0.07199757, 0.20346113], [0.13837447, 0.21265186, 0.09147878, 0.22230501], [0.16757527, 0.24672364, 0.12163786, 0.23427807], [0.17552326, 0.27567605, 0.13545224, 0.236195], [0.19094696, 0.29519202, 0.15639023, 0.22938099], [0.10226121, 0.27388989, 0.0999421, 0.05356275]]","[[0.02080086, 0.06341792, 0.06906642, 0.0298113], [0.0078438, 0.03271387, 0.10971082, 0.0141825], [0.01500999, 0.03234797, 0.15809992, 0.01678348], [0.03591406, 0.02906507, 0.19437469, 0.02794207], [0.07534176, 0.02938192, 0.23152154, 0.02920756], [0.11693139, 0.02864818, 0.26448473, 0.0373633], [0.14639082, 0.03053061, 0.29436339, 0.04422329], [0.17797474, 0.03443041, 0.31795804, 0.05385096], [0.21400176, 0.04521233, 0.33592991, 0.06539715], [0.22161885, 0.04833496, 0.34596846, 0.03716626]]"
8,8,0.7416,0.6916,0.848,3,3,"[[0.00388388, 0.00543385, 0.0033973, 0.0214806], [0.00106567, 0.00398044, 0.00239458, 0.03221666], [0.00120118, 0.00589533, 0.00251247, 0.04131111], [9.04877248e-05, 0.00407537014, 0.00216732098, 0.0477891646], [0.00195917, 0.00244334, 0.00221506, 0.0564482], [0.00053167, 0.00419571, 0.0029382, 0.06529679], [0.0010369, 0.00361808, 0.00371795, 0.06933376], [0.00075066, 0.00280487, 0.00408116, 0.07267561], [0.00129297, 0.00363999, 0.00444588, 0.07543505], [0.00030016, 0.00379855, 0.0057885, 0.08182315]]","[[0.00410076, 0.02145823, 0.00135053, 0.01673079], [0.002708, 0.02038467, 0.00089393, 0.03754888], [0.00213755, 0.02559683, 0.00097314, 0.05855292], [0.00254646, 0.02426489, 0.00269776, 0.0739883], [0.00106212, 0.02248825, 0.00215166, 0.08176964], [0.00131212, 0.02568542, 0.00216322, 0.09601042], [0.00168736, 0.02469178, 0.00413768, 0.10949936], [0.00118534, 0.02537256, 0.00441353, 0.11834269], [0.00137246, 0.02463386, 0.00559199, 0.12478156], [0.00139329, 0.0298196, 0.00626177, 0.13387632]]"
9,9,0.7308,0.6783,0.8467,1,2,"[[0.0511593, 0.02363866, 0.03347268, 0.06238723], [0.05625213, 0.05145869, 0.06520693, 0.09848616], [0.05714006, 0.06008428, 0.0765529, 0.08459101], [0.05176631, 0.07123699, 0.0871794, 0.06306068], [0.04987142, 0.06634013, 0.08126043, 0.05139884], [0.04931775, 0.07106461, 0.08570144, 0.04406693], [0.04593306, 0.07057912, 0.08418067, 0.03334405], [0.0404887, 0.06713666, 0.0771501, 0.02228913], [0.04761638, 0.07001123, 0.07808395, 0.02540841], [0.03527227, 0.05030612, 0.05944657, 0.00843117]]","[[0.00131425, 0.05857149, 0.04910194, 0.01889948], [0.00377391, 0.09540118, 0.07954309, 0.02277953], [0.00721011, 0.11761173, 0.09716499, 0.02257633], [0.02084959, 0.14495828, 0.1093915, 0.02963737], [0.03890958, 0.17400907, 0.13531697, 0.0525281], [0.0614595, 0.19142745, 0.1663912, 0.06782142], [0.0925996, 0.20313524, 0.17904219, 0.09079192], [0.130119, 0.22884947, 0.2014849, 0.11149794], [0.16448033, 0.23331327, 0.21082871, 0.11785511], [0.18856342, 0.24944186, 0.22391118, 0.05517976]]"
